,pred,actual,difference
0,3.0913048,3.5,0.4086952209472656
1,2.9594667,3.0,0.04053330421447754
2,3.382421,3.5,0.11757898330688477
3,3.540102,3.5,0.04010200500488281
4,3.9493852,3.0,0.9493851661682129
5,3.0170147,3.0,0.017014741897583008
6,3.4347084,4.0,0.5652916431427002
7,2.8364167,4.0,1.1635832786560059
8,2.92672,2.5,0.42671990394592285
9,3.1567967,3.0,0.15679669380187988
10,3.3265657,3.5,0.17343425750732422
11,3.6966505,3.0,0.696650505065918
12,2.9059296,3.0,0.0940704345703125
13,2.2678242,2.0,0.2678241729736328
14,3.4050024,3.5,0.09499764442443848
15,2.6335208,2.5,0.13352084159851074
16,3.005056,2.5,0.5050559043884277
17,2.3655324,2.5,0.13446760177612305
18,3.7407327,3.5,0.24073266983032227
19,2.9027312,2.0,0.90273118019104
20,2.9480395,2.5,0.44803953170776367
21,3.754452,4.0,0.24554800987243652
22,3.117134,3.0,0.11713409423828125
23,2.6700692,2.5,0.17006921768188477
24,3.593498,3.5,0.09349799156188965
25,2.4624257,3.0,0.537574291229248
26,3.3864212,3.5,0.11357879638671875
27,3.9659874,3.5,0.4659874439239502
28,3.2580795,3.0,0.25807952880859375
29,2.6858106,2.5,0.18581056594848633
30,2.805878,3.0,0.1941220760345459
31,3.4116464,3.5,0.08835363388061523
32,3.16282,3.5,0.33717989921569824
33,1.9865067,2.0,0.01349329948425293
34,3.964162,2.5,1.4641621112823486
35,3.054835,4.0,0.9451649188995361
36,3.238397,3.0,0.23839688301086426
37,3.713,4.0,0.2869999408721924
38,2.5539055,2.5,0.053905487060546875
39,2.7699952,2.5,0.26999521255493164
40,2.937152,2.0,0.9371519088745117
41,2.7312477,2.5,0.2312476634979248
42,2.9891853,2.5,0.4891853332519531
43,3.9326468,3.5,0.4326467514038086
44,2.2262797,2.0,0.22627973556518555
45,1.8814504,2.0,0.11854958534240723
46,2.8069413,2.5,0.30694127082824707
47,3.7319252,4.0,0.26807475090026855
48,3.0534506,2.5,0.5534505844116211
49,4.0597625,4.5,0.44023752212524414
50,3.0638795,3.0,0.06387948989868164
51,3.2861028,2.5,0.7861027717590332
52,3.4272456,3.0,0.4272456169128418
53,3.572148,3.5,0.07214808464050293
54,3.8712478,3.0,0.8712477684020996
55,3.1737223,3.0,0.1737222671508789
56,3.5431085,4.0,0.4568915367126465
57,3.521587,3.5,0.021586894989013672
58,2.7571678,3.0,0.24283218383789062
59,2.8654387,2.0,0.86543869972229
60,1.98719,2.0,0.012809991836547852
61,2.4873605,2.5,0.012639522552490234
62,3.213263,3.5,0.28673696517944336
63,3.5718408,3.0,0.571840763092041
64,2.4868257,2.5,0.013174295425415039
65,2.700226,2.5,0.2002260684967041
66,2.7917955,2.5,0.2917954921722412
67,2.9768653,2.5,0.476865291595459
68,2.321879,2.5,0.17812108993530273
69,3.084876,3.0,0.08487606048583984
70,3.0939817,3.5,0.4060182571411133
71,3.1070828,2.0,1.1070828437805176
72,2.7916129,2.5,0.2916128635406494
73,3.5108669,3.0,0.5108668804168701
74,3.747329,4.5,0.7526710033416748
75,2.593065,2.0,0.5930650234222412
76,2.9983335,3.0,0.0016665458679199219
77,2.720357,2.5,0.22035694122314453
78,2.3258324,2.5,0.17416763305664062
79,2.0509288,2.5,0.44907116889953613
80,3.183018,3.0,0.18301796913146973
81,2.9230845,3.0,0.07691550254821777
82,3.0434978,3.0,0.04349780082702637
83,2.2689803,2.0,0.2689802646636963
84,3.5087562,3.5,0.008756160736083984
85,3.459154,2.5,0.9591538906097412
86,3.0627458,3.0,0.06274580955505371
87,3.1955607,3.5,0.3044393062591553
88,4.309819,4.0,0.30981922149658203
89,3.5443504,3.0,0.5443503856658936
90,3.7925742,4.5,0.7074258327484131
91,2.6914341,3.5,0.8085658550262451
92,3.2546158,3.0,0.25461578369140625
93,2.6195042,3.0,0.3804957866668701
94,2.7850287,3.0,0.21497130393981934
95,3.5038772,3.0,0.5038771629333496
96,3.385744,3.0,0.3857440948486328
97,3.0792115,2.5,0.5792114734649658
98,4.028291,4.0,0.02829122543334961
99,3.6590455,3.0,0.6590454578399658
100,3.3607962,3.0,0.3607962131500244
101,2.7393198,2.0,0.7393198013305664
102,3.3049133,3.0,0.3049132823944092
103,2.5507612,1.5,1.0507612228393555
104,2.60422,2.0,0.604219913482666
105,1.9894166,1.0,0.9894165992736816
106,3.2380533,3.0,0.2380533218383789
107,3.476236,3.0,0.47623610496520996
108,3.5500119,3.0,0.5500118732452393
109,3.4073105,3.0,0.40731048583984375
110,2.4081204,2.0,0.40812039375305176
111,3.5263114,3.0,0.5263113975524902
112,3.5750923,3.5,0.07509231567382812
113,2.600848,2.5,0.10084795951843262
114,3.4481115,3.0,0.44811153411865234
115,3.10703,2.5,0.607029914855957
116,2.7779417,3.0,0.22205829620361328
117,2.02322,1.0,1.0232200622558594
118,3.206013,3.0,0.20601296424865723
119,2.8822594,2.5,0.3822593688964844
120,3.0388074,3.0,0.03880739212036133
121,2.7679212,2.5,0.26792120933532715
122,2.8919642,2.5,0.3919641971588135
123,2.2870507,2.0,0.287050724029541
124,2.9296086,3.5,0.5703914165496826
125,3.6603332,3.5,0.16033315658569336
126,4.3455963,5.0,0.6544036865234375
127,3.2002819,2.0,1.2002818584442139
128,2.9565232,3.0,0.04347681999206543
129,3.4044154,4.0,0.5955846309661865
130,2.9039772,3.5,0.5960228443145752
131,2.4460404,2.5,0.05395960807800293
132,3.596539,3.5,0.09653902053833008
133,2.9838116,2.5,0.483811616897583
134,3.5089974,3.0,0.5089974403381348
135,3.0272388,3.5,0.4727611541748047
136,1.989048,1.5,0.4890480041503906
137,2.9590633,3.5,0.5409367084503174
138,3.0500147,2.5,0.5500147342681885
139,2.9915183,2.5,0.4915182590484619
140,3.716578,3.5,0.21657800674438477
141,3.0104716,3.0,0.010471582412719727
142,2.8703268,2.0,0.8703267574310303
